公告,#genre#
CCTV4-高码,http://49.234.186.50:35455/ysptp/cctv4.m3u8 
CCTV4-高码,http://1.14.19.228:35455/ysptp/cctv4.m3u8 
CCTV4-50-FPS,http://49.234.186.50:35455/itv/5000000011000031102.m3u8?cdn=bestzb 
CCTV4-50-FPS,http://1.14.19.228:35455/itv/5000000011000031102.m3u8?cdn=bestzb 
CCTV4-HEVC,http://49.234.186.50:35455/itv/1000000005000265004.m3u8?cdn=ystenlive 
CCTV4-HEVC,http://1.14.19.228:35455/itv/1000000005000265004.m3u8?cdn=ystenlive 
CCTV5,http://49.234.186.50:35455/itv/1000000005000025222.m3u8?cdn=ystenlive 
CCTV5,http://1.14.19.228:35455/itv/1000000005000025222.m3u8?cdn=ystenlive 
CCTV5,http://43.136.119.99/cqyx.php?id=cctv5 
CCTV5,http://114.253.165.121:10000/rtp/239.3.1.173:8001 
CCTV5,http://221.216.137.230:8012/rtp/239.3.1.173:8001 
CCTV5,http://221.221.146.211:8182/rtp/239.3.1.173:8001 
CCTV5,mitv://135.148.104.228:19806/38c87f18f93c440594b45fd7de89a768 
CCTV5-HEVC,http://49.234.186.50:35455/itv/1000000005000265005.m3u8?cdn=ystenlive 
CCTV5-HEVC,http://1.14.19.228:35455/itv/1000000005000265005.m3u8?cdn=ystenlive 
CCTV5p-高码,http://49.234.186.50:35455/ysptp/cctv5p.m3u8 
CCTV5p-高码,http://1.14.19.228:35455/ysptp/cctv5p.m3u8 
